sars_number,annual_salary
#75075,539616
#84065,410711
#45230,484113
#36868,526792
#44547,366780
#48452,255164
#47666,249135
#97774,548803
#65101,244545
#17465,480025
#82845,15527
#44334,721358
#87986,260963
#13462,287203
#90654,574035
#22709,310135
#80587,741940
#52271,200809
#70119,632046
#10057,179934
#73153,216033
#20536,471985
#54468,642952
#32835,505703
#68598,333713
#98630,81845
#36540,421526
#90569,763704
#81638,428007
#96703,312615
#31864,294601
#73720,146080
#54729,454051
#97379,139482
#13390,163603
#12733,647966
#42590,170441
#57424,311755
#29283,188217
#18675,485993
